"","GENE_ID","LUSC1","LUSC2","LUSC3","LUSC4","LUSC5","LUSC6","NORM1","NORM2","NORM3"
"1","ENSG00000000003.13",1988,6294,2616,3722,1970,2563,3058,1708,1716
"2","ENSG00000000005.5",1,1,1,1,0,0,3,16,4
"3","ENSG00000000419.11",1194,3779,2317,2477,747,2812,1132,2256,1895
"4","ENSG00000000457.12",449,1282,1023,961,678,1265,1073,940,1119
"5","ENSG00000000460.15",748,1312,716,581,887,743,200,172,233
"6","ENSG00000000938.11",194,542,624,805,142,892,4000,3881,11059
"7","ENSG00000000971.14",1515,1449,2220,5265,534,4606,10636,4859,13526
"8","ENSG00000001036.12",2312,4311,1631,3097,2798,3128,3612,3682,5074
"9","ENSG00000001084.9",20363,3237,15718,38319,28662,30452,2048,1171,1482
"10","ENSG00000001167.13",2346,4953,1889,2553,1350,3059,1762,1160,2828
"11","ENSG00000001460.16",772,746,1520,1665,2308,476,968,636,1480
"12","ENSG00000001461.15",959,3887,1482,2251,2210,2008,4473,2329,7397
"13","ENSG00000001497.15",2531,4640,4068,3724,2006,2159,2122,1377,3300
"14","ENSG00000001561.6",31,3250,385,370,31,770,4561,4160,6691
"15","ENSG00000001617.10",5625,2862,3882,5585,6505,4286,8515,1468,3564
"16","ENSG00000001626.13",2,160,139,101,63,903,1929,2542,2918
"17","ENSG00000001629.8",2671,3647,2097,5190,2205,4692,3852,2213,4093
"18","ENSG00000001630.14",420,222,266,368,391,1041,713,632,1554
"19","ENSG00000001631.13",1537,2247,1740,2956,2100,2559,1939,1462,2516
"20","ENSG00000002016.15",254,452,1236,588,324,351,377,354,438
"21","ENSG00000002079.11",31,7,7,30,19,31,3,13,16
"22","ENSG00000002330.12",1909,2398,2292,1920,1715,1349,2693,3591,3136
"23","ENSG00000002549.11",1766,10164,4952,8447,1328,5131,14867,8234,13798
"24","ENSG00000002586.16",5878,10590,19924,16397,13918,10445,19432,10437,14736
"25","ENSG00000002587.8",122,460,584,376,431,596,1002,502,321
"26","ENSG00000002726.18",20,2152,10,107,6,291,99,72,105
"27","ENSG00000002745.11",8,2,16,39,215,11,14,11,14
"28","ENSG00000002746.13",22,66,9,130,49,547,27,8,22
"29","ENSG00000002822.14",1132,1046,1340,1718,1708,1136,1775,1193,3145
"30","ENSG00000002834.16",9951,16971,7794,18507,11104,13627,21293,8148,25720
"31","ENSG00000002919.13",1110,2959,1413,2011,1033,1909,2124,2730,2447
"32","ENSG00000002933.6",370,5903,1203,1533,434,2904,4574,2882,3569
"33","ENSG00000003056.6",4916,4375,5456,8178,3914,6240,6410,5316,9318
"34","ENSG00000003096.12",855,47,2956,2868,1758,1060,526,178,192
"35","ENSG00000003137.7",92,83,203,437,156,520,1115,109,222
"36","ENSG00000003147.16",33,723,159,374,36,580,1204,872,1392
"37","ENSG00000003249.12",494,338,813,783,548,1692,596,520,740
"38","ENSG00000003393.13",1503,2347,1871,8863,1058,2161,2039,1332,2840
"39","ENSG00000003400.13",591,1113,641,2691,374,691,3101,1765,3389
"40","ENSG00000003402.18",2319,5112,4138,14463,1656,7535,17224,8221,35645
"41","ENSG00000003436.13",335,1884,549,3192,454,3400,26976,10222,22967
"42","ENSG00000003509.14",464,830,1086,1067,574,769,577,629,682
"43","ENSG00000003756.15",1285,2383,2978,4083,2147,2299,3665,3815,7037
"44","ENSG00000003987.12",29,257,43,39,26,135,126,75,200
"45","ENSG00000003989.15",306,406,628,543,461,4875,3540,1295,5657
"46","ENSG00000004059.9",7104,13968,9065,10452,12468,7355,6388,8877,8709
